id,idiom,trap_words,gold
t0031,your guess is as good as mine,अच्छा|ग्यूज|मेरा,"तुम्हारा अंदाज़ा भी मेरे जितना ही सही है, लेकिन किस्मत अक्सर अप्रत्याशित मोड़ लेती है।"
t0032,pass the buck,बक्सा|पास,हम ऐसी स्थिति में थे कि ज़िम्मेदारी किसी और पर डाल सकते थे।
t0033,bite the bullet,काटने|गोली,"मेरा मानना था कि हमें कठिन निर्णय लेना चाहिए, SERPS को समाप्त करना चाहिए और निजी पेंशन को बढ़ावा देना चाहिए।"
t0034,sit on the fence,बाड़|बैठो,जॉर्डन की सरकार पूरी तरह तटस्थ बनी हुई है; उसने न तो इस पुस्तक पर प्रतिबंध लगाया है और न ही इसकी बिक्री को मंज़ूरी दी है।
t0035,sit on the fence,बाड़|बैठो,"अगर वे पूछें कि तुम पार्टी के किस गुट से हो, तो कह देना कि तुम तटस्थ रहना चाहते हो।"
t0036,read between the lines,लीन|पंक्तियाँ|पढ़ना,"इसलिए सावधान रहो: अगर हम इतनी आसानी से बातों के बीच का मतलब समझ सकते हैं, तो तुम्हारे परिवार और दोस्त भी समझ सकते हैं।"
t0037,read between the lines,लीन|पंक्तियाँ|पढ़ना,"इसका अधिकांश हिस्सा विस्तार से दर्ज नहीं है, इसलिए हमें गतिविधियों के बारे में बातों के बीच का मतलब समझना पड़ता है।"
t0038,pull the plug,प्लग|खींचें,मध्य पूर्व के बड़े निवेशक अपनी फंडिंग बंद करने और अपने घोड़े अधिक इनामी राशि की तलाश में फ्रांस ले जाने की धमकी दे रहे हैं।
t0039,turn a blind eye,अंधा|आँख|घुमा,"खैर, हम वैसे भी चुप रहते हैं; बस अनदेखा कर देते हैं।"
t0040,turn over a new leaf,पत्ती|नया|घुमा,"यदि लेबर पार्टी वास्तव में नई शुरुआत करना चाहती है, तो उसे और भी बड़े बदलाव करने चाहिए।"
t0041,pass the buck,बक्स|पास,अक्सर ज़िम्मेदारी दूसरों पर डालने की प्रवृत्ति देखी जाती है।
t0042,jump on the bandwagon,बैंडवागन|कूदना,"जो लोग पहले रूसी तेल और इस्पात कंपनियों में निवेश करते थे, वे भी अब इस चलन में शामिल हो गए हैं।"
t0043,out of the blue,नीला,"यदि ईश्वर सचमुच नई शुरुआत करना चाहता है, तो उसे एक ऐसे बच्चे से शुरुआत करनी होगी जिसका जन्म बिल्कुल अप्रत्याशित हो।"
t0044,bring home the bacon,बेकन|लाए|घर,हांगकांग के स्थानीय खिलाड़ियों ने अपने सेवानिवृत्त कोच जिम रोवार्क के लिए जीत हासिल करने का वादा पूरा किया।
t0045,off the hook,हुक,शायद उन्हें इस ज़िम्मेदारी से मुक्त कर दिया जाए और उनकी जटिलताओं को स्वीकार कर लिया जाए।
t0046,off the hook,हुक,फिर पशु अधिकार कार्यकर्ता उनके खिलाफ अभियान चला सकते हैं और तुम्हें इस झंझट से छुटकारा मिल जाएगा।
t0047,put your foot down,पैर|डाल,तुम्हें सख्ती से अपनी बात मनवानी होगी।
t0048,turn a blind eye,अंधा|आँख|घुमा,लगता है कि क्षेत्र की कुछ अन्य ताकतों ने भी इस मामले को जानबूझकर अनदेखा कर दिया।
t0049,throw in the towel,फेंकना|तौलिया,अंग्रेज़ी भाषा के प्रतिष्ठित संरक्षकों के एक समूह ने आखिरकार हार मान ली।
t0050,make ends meet,अंत|बनाने|मिलना,मुझे पता है कि पिछले दो वर्षों में गुज़ारा करना बहुत कठिन रहा है।
t0051,rule of thumb,नियम|अंगूठा,"दशकों के शोध और आँकड़ों के बावजूद, कई बड़े प्रश्नों पर हमारे पास अब भी केवल सामान्य दिशा-निर्देश ही हैं।"
t0052,take the bull by the horns,बैल|शोर|सींग,सोफ़े के किनारे बैठे उस युवक को देखकर उसने सीधे समस्या का सामना करने का फैसला किया।
t0053,put your foot down,पैर|डाल,तुम्हें अपनी बात पर दृढ़ रहना होगा।
t0054,over the moon,चंद्रमा,"कर्नल ने कहा था कि जब उन्होंने तुम्हें यह खबर दी, तो तुम खुशी से झूम उठे थे।"
t0055,make ends meet,अंत|बनाने|मिलना,लेकिन उसे मौसी बेसी का घर भी संभालना पड़ता था और गुज़ारा करने के लिए एक किरायेदार भी रखना पड़ा।
t0056,out of the blue,नीला,अवसाद से जुड़ी कई घटनाएँ अचानक नहीं होतीं।
t0057,cut corners,कोने|कटौती,"अगर कुछ शॉर्टकट अपना लो, तो शायद एक-दो दिन बचा सकते हो।"
t0058,rule of thumb,नियम|अंगूठा,हालाँकि कुछ प्रकार के प्रदूषकों की पहचान केवल सामान्य अनुमान के आधार पर नहीं की जा सकती।
t0059,bury the hatchet,दफन|हत्केला,"हमने केवल जश्न ही नहीं मनाया, बल्कि पुराने मतभेद भी भुला दिए।"
t0060,make ends meet,अंत|बनाने|मिलना,"यूरो डिज़्नी के शेयरधारकों के लिए यह शायद राहत की बात न हो, लेकिन फ्रांस के लगभग सभी मनोरंजन पार्क गुज़ारा करने के लिए संघर्ष कर रहे हैं।"
t0061,in hot water,गर्म|जल,"फर्गी उस छुट्टी के बाद मुसीबत में पड़ गई थी, इसलिए अब वह खुद को संभाल रही थी।"
t0062,bite the bullet,काटने|गोली,एनएएम ने आखिरकार कठिन निर्णय स्वीकार कर लिया।
t0063,off the hook,हुक,"उसकी मौजूदगी ने निश्चित रूप से उसे फैसले लेने से बचा लिया; ""मुझे अपनी पत्नी से पूछना होगा"" कहकर वह हमेशा ज़िम्मेदारी से बच निकलता था।"
t0064,read between the lines,लीन|पंक्तियाँ|पढ़ना,"लेकिन बातों के बीच का मतलब समझें, तो मुझे लगता है कि क्लेयर को पैसों की ज़रूरत है।"
t0065,see eye to eye,आँख|देखें,मेरे पादरी और मेरी बाइबिल की शाब्दिक व्याख्या के मुद्दे पर राय एक जैसी नहीं है।
t0066,twist someone's arm,हाथ|झुकना,तो मेरे पिताजी ने उसे थोड़ा मनाने की कोशिश की।
t0067,over the moon,चंद्रमा,उस होटल की व्यवस्था देखकर उसके ग्राहक खुशी से झूम उठेंगे।
t0068,throw in the towel,फेंकना|तौलिया,"पुलिस जब एक पादरी को घटनास्थल पर ले आई, तो उन्होंने हार मान ली।"
t0069,in a nutshell,संक्षिप्त,"संक्षेप में कहें तो, आज का यूरोप ऐसा ही है, और अमेरिका भी उससे बहुत पीछे नहीं है।"
t0070,off the hook,हुक,"चाहे वह सही रही हो या गलत, ह्यूगो को इस ज़िम्मेदारी से बचा लिया गया।"
t0071,turn a blind eye,अंधा|आँख|घुमा,"उस समय तक पुलिस छोटे-मोटे सार्वजनिक शालीनता के उल्लंघनों को अक्सर अनदेखा कर देती थी, बजाय लंबे मुकदमे चलाने के।"
t0072,twist someone's arm,झुकना,ज़रा हाथ तो मरोड़ो।
t0073,out of the blue,नीला,राजा जॉर्ज की मृत्यु का समाचार बिल्कुल अचानक आया।
t0074,miss the boat,नाव|मिसा|मिस,"अगर तुम यह मौका खो दोगे, तो यह तुम्हारे लिए अच्छा नहीं होगा।"
t0075,out of the blue,नीला,"अचानक उसने कहा, ""काश वह आज यह सब देखने के लिए जीवित होती।"""
t0076,make ends meet,अंत|बनाने|मिलना,कोई आश्चर्य नहीं कि उस पत्रिका के लिए गुज़ारा करना आसान नहीं था।
t0077,face the music,चेहरा|संगीत,"इसलिए आदम का कर्तव्य था कि वह घर लौटकर परिणामों का सामना करे, चाहे उसे केवल थोड़ी-सी डाँट ही क्यों न सुननी पड़े।"
t0078,off the hook,हुक,श्री रॉब्सन ने कोरोनर माइकल शेफ़ील्ड को बताया कि टेलीफ़ोन का रिसीवर अपनी जगह से उठा हुआ था और कमरे में सामान बिखरा पड़ा था।
t0079,twist someone's arm,हाथ|झुकना,उसने आगे स्वीकार किया कि IMP की तथाकथित 'गोल्डन गर्ल' वास्तव में अपने दम पर एक शानदार युवा रसायन वैज्ञानिक है।
t0080,sit on the fence,बाड़|बैठो,मुझे लगता है कि मुझे यह कहना चाहिए कि इसे काउंटी परिषद का दोनों पक्षों के बीच तटस्थ रहना नहीं समझा जाना चाहिए।
t0081,read between the lines,लीन|पंक्तियाँ|पढ़ना,आप अपनी दूरदर्शिता और कल्पनाशक्ति का उपयोग करके बातों के बीच का मतलब समझेंगे और वास्तविक संदेश को जान पाएँगे।
t0082,on the same page,समान,दूसरा कारण उसने उसी पृष्ठ पर इस प्रकार व्यक्त किया।
t0083,throw in the towel,फेंकना|तौलिया,"फिर भी, जितनी संभावना कठिनाइयों पर विजय पाने की है, उतनी ही हार मान लेने की भी है।"
t0084,in a nutshell,संक्षिप्त,"संक्षेप में, यही पूरा खेल था।"
t0085,jump on the bandwagon,बैंडवागन|कूदना,"कमीशन आधारित बिक्री की नौकरियों के लिए दिए जाने वाले चकाचौंध भरे भर्ती विज्ञापनों के चलन में शामिल होने की कोई कोशिश नहीं की गई। उदाहरण के लिए: ""मैं मार्टिन हूँ।"""
t0086,up in the air,हवा,"श्री पाव्लिचको, जो कवि से राजनेता बने हैं, इतना जानते हैं कि इस प्रश्न का उत्तर अभी अनिश्चित ही छोड़ते हैं।"
t0087,pull someone's leg,पैर|खींचें,क्या तुम मेरा मज़ाक उड़ा रहे हो?
t0088,over the moon,चंद्रमा,जॉर्ज को तो जैसे खुशी का ठिकाना ही नहीं रहा।
t0089,steal someone's thunder,गूंज,"तुम किसी वरिष्ठ अधिकारी की सारी वाहवाही अपने नाम करने की सोच भी नहीं सकते, है न?"
t0090,in a nutshell,संक्षिप्त,"संक्षेप में, एक भोला-भाला ग्रामीण अश्वेत पुलिसकर्मी लंदन की एक बस्ती में तनाव कम करने भेजा जाता है और पता लगाता है कि असली गड़बड़ी कौन कर रहा है।"
t0091,read between the lines,लीन|पंक्तियाँ|पढ़ना,"आँकड़ों के बाद शेयर 5 पेंस बढ़कर 75 पेंस हो गए, लेकिन पंक्तियों के बीच पढ़ें तो समूह के बाकी कारोबार उतने भी गतिशील नहीं हैं।"
t0092,turn a blind eye,अंधा|आँख|घुमा,"जो कुछ हो रहा है उसकी ज़िम्मेदारी उन्हीं की है, लेकिन साफ़ है कि कुछ लोग जानबूझकर अनदेखी कर रहे हैं।"
t0093,call it a day,कॉल|दिन,"उसने फिर एक सावधानीपूर्वक और औपचारिक पत्र लिखा, सहायता के लिए आभार व्यक्त किया और सुझाव दिया कि वे मतभेद भुलाकर यहीं बात समाप्त कर दें।"
t0094,put your foot down,पैर|डाल,"यदि आप सख्ती दिखाना चाहते हैं, तो मुझे नहीं लगता कि यह वह कार है जिसे आप चुनेंगे।"
t0095,sit tight,बैठो|सख्त,क्या तुम उस आदमी के घर में कुछ और हफ्तों तक चुपचाप नहीं रुक सकते थे?
t0096,burn the midnight oil,जलाना|मध्यरात्रि|तेल,माइक्रोसॉफ्ट के कर्मचारी NT को बेहतर बनाने के लिए देर रात तक कड़ी मेहनत कर रहे हैं।
t0097,easier said than done,कहा|से,"निर्माता कहते हैं कि यह कहना आसान है, करना मुश्किल।"
t0098,in a nutshell,संक्षिप्त,"संक्षेप में, प्रिंटर चुनने से पहले अपनी आवश्यकताओं को अच्छी तरह समझ लें।"
t0099,bite off more than you can chew,काटने|कैन|चबाये|अधिक,हमेशा यह खतरा रहता है कि आप अपनी क्षमता से ज़्यादा काम अपने ऊपर ले लें।
t0100,call it a day,कॉल|दिन,अब हमें यहीं आज का काम समाप्त कर देना चाहिए।
t0101,out of the blue,नीला,फिर अचानक उसकी कोठरी में एक पत्र आ पहुँचा।
t0102,out of the blue,नीला,यह आश्चर्यजनक है कि अचानक घटने वाली घटनाएँ किस तरह सब कुछ बदल देती हैं।
t0103,jump the gun,बंदूक|कूदना,"मुझे पता है कि आप रोडा ब्रॉकलबैंक से बात करना चाहते थे, लेकिन मुझे डर है कि मैंने जल्दबाज़ी कर दी।"
t0104,rule of thumb,अंगूठा,"सामान्य नियम के तौर पर, हर दो मेहमानों के लिए एक पाउंड बीफ़ की योजना बनानी चाहिए।"
t0105,easier said than done,कहा|से,"लेकिन यह कहना जितना आसान है, करना उतना ही कठिन है।"
t0106,on the ball,गेंद,"वे सचमुच बहुत सतर्क और फुर्तीले हैं, कभी-कभी तो डरावने लगते हैं।"
t0107,cut corners,कोने|कटौती,किसानों को समय बचाने के लिए शॉर्टकट अपनाकर अपनी या दूसरों की जान जोखिम में नहीं डालनी चाहिए।
t0108,in a nutshell,संक्षिप्त,"संक्षेप में बताइए, लोकतंत्र की दिशा में आगे बढ़ने का सही रास्ता क्या है?"
t0109,throw in the towel,फेंकना|तौलिया,"महिला अधिकारी ने टिप्पणी की, ""लगता है कि पुरुषों ने हार मान ली है!"""
t0110,read between the lines,लीन|पंक्तियाँ|पढ़ना,"लेकिन अगर आप बातों के बीच का मतलब समझें, तो आपको स्थिति का मोटा-मोटा अंदाज़ा लग जाएगा।"
t0111,take the bull by the horns,बैल|शोर|सींग,"स्वभाव से दृढ़ होने के कारण, नोरा ने स्थिति का सीधे सामना करने और सब कुछ स्वयं व्यवस्थित करने का निर्णय लिया।"
t0112,face the music,चेहरा|संगीत,"और यदि जवाबदेही का सामना करना पड़ा, तो उम्मीद है कि तुम पुलिस से गोलीबारी करने की नहीं सोच रहे हो?"
t0113,cut corners,कोने|कटौती,"हम सब जानते हैं कि निजी ठेकेदार अक्सर शॉर्टकट अपनाते हैं, जिससे सेवाओं की गुणवत्ता घटती है और महिलाओं, ग्राहकों तथा उपयोगकर्ताओं को नुकसान होता है।"
t0114,in a nutshell,संक्षिप्त,"संक्षेप में, हिंस्ले राइट की तुलना में कहीं अधिक भरोसेमंद है, लेकिन उस पर अधिक प्रतिबंध हैं।"
t0115,out of the blue,नीला,अचानक बिना किसी संदर्भ के उसने उस विषय का ज़िक्र कर दिया।
t0116,make ends meet,अंत|बनाने|मिलना,आजकल कई परिवारों के लिए गुज़ारा करना बहुत मुश्किल हो गया है।
t0117,face the music,चेहरा|संगीत,"केवल डायना ही नहीं, बल्कि उसके माता-पिता को भी परिणामों का सामना करना पड़ा।"
t0118,call the shots,कॉल|शॉट,"वही सारे फैसले लेती है, और जो लोग उससे मिलते हैं उन्हें उसकी शर्तों के अनुसार चलना पड़ता है यदि वे उसके साथ आगे बढ़ना चाहते हैं।"
t0119,out of the woods,लकड़ी|वन,"प्रबंधक हैरी मैकनैली ने कहा, ""हम अभी पूरी तरह सुरक्षित नहीं हुए हैं, लेकिन हमें एक सहारा ज़रूर मिल गया है।"""
t0120,kill two birds with one stone,पक्षी|पत्थर,यह तो एक तीर से दो निशाने लगाने जैसा है।
t0121,easier said than done,कहा|से,"यह कहना आसान है, करना मुश्किल, लेकिन अगर मुझे दोबारा मौका मिलता तो मैं ऐसा करता।"
t0122,rule of thumb,अंगूठा,"लोगों ने यह सामान्य नियम भी मान लिया था कि अस्थायी IRA बम रखने पर चेतावनी देती थी, जबकि वफादार समूह शायद ही कभी चेतावनी देते थे।"
t0123,in a nutshell,संक्षिप्त,"संक्षेप में, जानकारी के तीन प्रकार होते हैं।"
t0124,off the hook,हुक,"जब समाज के पास मुझे सम्मान देने के पर्याप्त साधन हैं, तो घटिया व्यवहार स्वीकार करके मैं उसे ज़िम्मेदारी से क्यों बचाऊँ?"
t0125,make ends meet,अंत|बनाने|मिलना,वह उनके जीवन का ऐसा दौर था जब उनके लिए गुज़ारा करना सबसे कठिन था।
t0126,by the book,पुस्तक,नियमों के अनुसार काम करके तंज़ानिया की सहायता करना।
t0127,throw in the towel,फेंकना|तौलिया,हमने किसी भी समय हार नहीं मानी।
t0128,on the ball,गेंद,"अब लोग ज़्यादा ध्यान दे रहे हैं, इसलिए अगर वही काम जारी रखना है तो तुम्हें और अधिक सतर्क रहना होगा।"
t0129,off the hook,हुक,"वेक्सफोर्ड के पास उन्हें हराने के मौके थे, लेकिन उन्होंने उन्हें आसानी से बच निकलने दिया।"
t0130,out of the blue,नीला,फिर अचानक रेडियो स्टेशन ने उन्हें नौकरी से निकाल दिया।
t0131,read between the lines,लीन|पंक्तियाँ|पढ़ना,बातों के बीच का मतलब समझें तो लगता है कि डॉडी वियर और माइकल डोड्स को टीम से बाहर रखा जाएगा।
t0132,easier said than done,कहा|से,"यह कहना आसान है, करना मुश्किल।"
t0133,rule of thumb,अंगूठा,"सामान्य नियम के अनुसार, दौड़ के बाद दूसरे सप्ताह में आपको अपनी सामान्य दूरी का केवल आधा दौड़ना चाहिए और तीसरे सप्ताह तक लगभग सामान्य स्थिति में लौट आना चाहिए।"
t0134,out of the blue,नीला,मुझे लगता है कि तुम्हारे फोन करने के तुरंत बाद वह औरत अचानक वहाँ आ पहुँची।
t0135,take the bull by the horns,बैल|शोर|सींग,जूलियट ने स्थिति का डटकर सामना किया।
t0136,over the moon,चंद्रमा,"मेरा मतलब है कि अगर वे बच्चे वहाँ जाते, तो उनकी खुशी का ठिकाना नहीं रहता।"
t0137,hit the road,सड़क,"जैसे ही वह बाथरूम से बाहर आया, उसने ट्रैकसूट पहना और दौड़ने निकल पड़ा।"
t0138,sit on the fence,बाड़|बैठो,"वास्तव में, कॉइल-टैप होने के बावजूद इसकी आवाज़ दोनों के बीच का समझौता जैसी लगती है।"
t0139,bite the bullet,काटने|गोली,"खैर, उसे कठिन निर्णय लेना ही पड़ा।"
t0140,call it a day,कॉल|दिन,इसलिए उसने यहीं बात समाप्त करने पर सहमति जताई।
t0141,by the book,पुस्तक,इसे पूरी तरह नियमों के अनुसार करो।
t0142,bite your tongue,काटने,तुम्हें इस तरह अपनी जीभ नहीं काटनी चाहिए।
t0143,under the weather,मौसम,"मैं कुछ दिनों से थोड़ा अस्वस्थ था, थोड़ा अनाड़ी और भुलक्कड़ भी, जैसा अक्सर तब होता है जब तबीयत ठीक नहीं होती।"
t0144,hold your horses,घोड़े,"ज़रा धैर्य रखो, जो ने कहा, ""यह महिला मेरे साथ है।"""
t0145,kill two birds with one stone,पक्षी|पत्थर,"यह प्रस्ताव एक तीर से दो निशाने लगाने का तरीका हो सकता है, लेकिन हमें लालच से बचना होगा, नहीं तो सब बिगड़ सकता है।"
t0146,rule of thumb,अंगूठा,"सबसे अच्छा सामान्य नियम यह है कि देखें कि डेटा तत्व के बारे में जानकारी है या नहीं, यानी क्या उसके गुण मौजूद हैं।"
t0147,rule of thumb,अंगूठा,सामान्य नियम यह कहता है कि प्रत्येक व्यक्ति से एक से तीन सेकंड तक आँखों का संपर्क रखना चाहिए।
t0148,call it a day,कॉल|दिन,"उसने कहा, ""निर्देशक ने आखिरकार काम छोड़ने का फैसला कर लिया है।"""
t0149,rule of thumb,अंगूठा,"कृत्रिम पारिस्थितिकी तंत्र के डिज़ाइन में भी, शील्ड्स का मानना है कि प्रकृति की नकल करना सबसे अच्छा सामान्य नियम है।"
t0150,call it a day,कॉल|दिन,"जब मैं काम छोड़ने का फैसला करूँगा, तब वे भी रुक जाएँगे।"
t0151,turn a blind eye,अंधा|आँख|घुमा,वेको के शेरिफ ने कोरेश की गतिविधियों को अक्सर जानबूझकर अनदेखा किया।
t0152,make ends meet,अंत|बनाने|मिलना,वह बेरोज़गार है और गुज़ारा करने के लिए सरकारी सहायता पर निर्भर है।
t0153,over the moon,चंद्रमा,"""तो क्या बदलने के कमरों और मैदानों के बढ़े हुए शुल्क से तुम बहुत निराश हो या बहुत खुश?"""
t0154,in a nutshell,संक्षिप्त,"मुझे लगता है कि हमने बच्चे के जन्म पर एक फिल्म देखी थी, बस वही था—संक्षेप में यही हमारी यौन शिक्षा थी।"
t0155,see eye to eye,आँख|देखें,मुझे नहीं लगता कि शुरुआत से ही उसकी और उसकी बहू की आपस में अच्छी बनती थी।
t0156,come rain or shine,आओ|वर्षा,"हर सुबह लगभग पाँच बजे, चाहे बारिश हो या धूप, जेम्स ज़रेई अपने घर से दौड़ने निकल पड़ता है।"
t0157,cut corners,कोने|कटौती,"आप निश्चिंत रहें कि मंदी हो या न हो, शैम्पेन निर्माता कीमतें बहुत कम करने से पहले गुणवत्ता से समझौता करना शुरू नहीं करेंगे।"
t0158,off the hook,हुक,"इस बार तुम बड़ी आसानी से बच निकले, इयान।"
t0159,out of the blue,नीला,"मैंने अचानक सपना देखा कि उसकी मृत्यु हो गई है, और फिर सचमुच उसकी मृत्यु हो गई।"
t0160,out of the blue,नीला,"उस रात जब वह यहाँ था, तभी अचानक मेरे मन में आया और मैंने उससे यह बात पूछ ली।"
t0161,rule of thumb,अंगूठा,एक मोटा-मोटी नियम यह था कि ज़मींदार ग्रामीण काउंटी परिषदों को नियंत्रित करते थे और किसान ग्रामीण जिला परिषदों को।
t0162,bury the hatchet,दफन|हत्केला,क्या अब समय नहीं आ गया कि तुम लोग पुराने झगड़े भुलाकर फिर से मेल-मिलाप कर लो?
t0163,rule of thumb,अंगूठा,इन परीक्षणों से निकला सामान्य नियम यह था कि सड़क को होने वाला नुकसान धुरी पर पड़ने वाले भार की चौथी घात के अनुपात में बढ़ता है।
t0164,in a nutshell,संक्षिप्त,"संक्षेप में, पारंपरिक सिद्धांत समान प्रकार की 'गरम' अभिवृद्धि पर आधारित हैं, जहाँ उच्च तापमान विभेदन का कारण बनते हैं।"
t0165,up in the air,हवा,"टॉम को बोस्टन की नौकरी मिलेगी या नहीं, यह अभी भी पूरी तरह अनिश्चित है।"
t0166,take the bull by the horns,बैल|शोर|सींग,उसने स्थिति का डटकर सामना किया।
t0167,call it a day,कॉल|दिन,मार्टिना ने संन्यास लेने का फैसला कर लिया।
t0168,rule of thumb,नियम|अंगूठा,कम से कम राजनीतिक प्रक्रिया के माध्यम से करदाता ऐसे ठोस आँकड़ों को प्रदर्शन का आकलन करने के सामान्य दिशा-निर्देश के रूप में उपयोगी पा सकते हैं।
t0169,out of the blue,नीला,बिल्कुल अचानक।
t0170,make ends meet,अंत|बनाने|मिलना,"""मुझे गाड़ी चलाना पसंद है, लेकिन गुज़ारा करने के लिए मुझे रोज़ 14–15 घंटे काम करना पड़ता था।"""
t0171,back to the drawing board,पीठ|बोर्ड|चित्र,"इसलिए फिर से शुरुआत करनी पड़ी, पीछे का हिस्सा खोलकर दोबारा बुनना पड़ा।"
t0172,up in the air,हवा,मार्क और सिंथिया की रात के खाने की योजना अभी तय नहीं हुई है।
t0173,add fuel to the fire,जोड़ना|आग|ईंधन,और वह गंदगी मुझ पर उल्टा असर करने के बजाय मेरे आनंद को और बढ़ा गई।
t0174,call the shots,शॉट,"लेकिन याद रखो, सारे फैसले कॉलिन ही लेता है।"
t0175,steal someone's thunder,गूंज,"मुझे डर है कि तुमने मेरी सारी बात पहले ही कह दी; जो मैं कहना चाहता था, वह सब तुमने कह दिया।"
t0176,off the hook,हुक,"ब्रैडी ने निर्देशक को बचाने की पूरी कोशिश करते हुए कहा, ""टॉम (ग्रांट) बहुत भावुक इंसान है और खुलकर अपनी बात कहता है।"""
