id,idiom,in_kb,usage,english_source,audio_path,hindi_reference,literal_trap_hi,pred_off,inter_off,pred_substitute,inter_substitute,pred_append,inter_append
t0011,read between the lines,1,figurative,"But , reading between the lines , I think Marc 's going to stand by him.’",audio/t0011.mp3,"लेकिन अगर बातों के बीच का मतलब समझें, तो मुझे लगता है कि मार्क उसका साथ नहीं छोड़ेगा।",लीन|पंक्तियाँ|पढ़ना,"लेकिन , लाइनों के बीच पढ़ते हुए , मुझे लगता है कि मार्क उसके साथ खड़ा होगा .","But , reading between the lines , I think Marc 's going to stand by him.’","लेकिन , छिपे हुए अर्थ को समझें , मुझे लगता है कि मार्क उसके साथ खड़ा होगा .","But , understand the hidden meaning , I think Marc 's going to stand by him.’","लेकिन, लाइनों के बीच पढ़ते हुए (छिपे हुए अर्थ को समझें), मुझे लगता है कि मार्क उसके साथ खड़े होंगे।","But , reading between the lines (understand the hidden meaning) , I think Marc 's going to stand by him.’"
t0012,by the book,1,figurative,Yeah you ca n't set it by the book,audio/t0012.mp3,"हाँ, तुम इसे पूरी तरह नियमों के अनुसार नहीं कर सकते।",पुस्तक,हाँ आप इसे किताब के अनुसार सेट नहीं कर सकते,Yeah you ca n't set it by the book,हाँ आप इसे सख्ती से नियमों का पालन करने के लिए सेट नहीं कर सकते,Yeah you ca n't set it strictly following the rules,हाँ आप इसे किताब के अनुसार सेट नहीं कर सकते (सख्त नियमों का पालन),Yeah you ca n't set it by the book (strictly following the rules)
t0013,hit the sack,1,figurative,Your husband needs to relax before he hits the sack .,audio/t0013.mp3,तुम्हारे पति को सोने से पहले थोड़ा आराम करने की ज़रूरत है।,सैक,आपके पति को आराम करने की जरूरत है इससे पहले कि वह धक्का मारने से पहले .,Your husband needs to relax before he hits the sack .,तुम्हारे पति को सोने से पहले आराम करने की जरूरत है .,Your husband needs to relax before he go to bed .,आपके पति को आराम करने की जरूरत है इससे पहले कि वह थैली (बेट जाने) हिट (बैठ) ।,Your husband needs to relax before he hits the sack (go to bed) .
t0014,sit on the fence,1,figurative,I mean all this sitting on the fence I mean they must have very sore bums .,audio/t0014.mp3,"मेरा मतलब है, हर समय तटस्थ बने रहने से तो उन्हें बैठने में भी तकलीफ़ होने लगी होगी।",बाड़|बैठो,मैं मतलब यह सब बाड़ पर बैठे मतलब वे बहुत दर्दनाक बकवास हो सकता है .,I mean all this sitting on the fence I mean they must have very sore bums .,मैं मतलब यह सब बाड़ पर बैठे मतलब वे बहुत दर्दनाक बकवास हो सकता है .,I mean all this sitting on the fence I mean they must have very sore bums .,मैं मतलब यह सब बाड़ पर बैठे मतलब वे बहुत दर्दनाक बकवास हो सकता है .,I mean all this sitting on the fence I mean they must have very sore bums .
t0015,call the shots,1,figurative,"‘ There 'll be a direct link between Detroit and the line managers in each country , with Detroit calling the shots.’",audio/t0015.mp3,डेट्रॉइट का हर देश के लाइन मैनेजरों से सीधा संपर्क होगा और सारे फैसले वहीं से लिए जाएँगे।,कॉल|शॉट,"प्रत्येक देश में डेट्रोइट और लाइन प्रबंधकों के बीच एक सीधा संबंध होगा , डेट्रोइट शूटिंग को बुलाता है।","‘ There 'll be a direct link between Detroit and the line managers in each country , with Detroit calling the shots.’","डेट्रोइट और प्रत्येक देश के लाइन मैनेजर के बीच एक सीधा संबंध होगा , डेट्रोइट निर्णयों के प्रभारी होंगे।","‘ There 'll be a direct link between Detroit and the line managers in each country , with Detroit be in charge of decisions.’","प्रत्येक देश में डेट्रोइट और लाइन मैनेजर के बीच एक सीधा संबंध होगा , जिसमें डेट्रोइट शॉट को कॉल करता है (निर्णायक निर्णय लेने का प्रभारी होना) ।","‘ There 'll be a direct link between Detroit and the line managers in each country , with Detroit calling the shots (be in charge of decisions).’"
t0016,in a nutshell,1,figurative,The problem in a nutshell is whether particular forms of scientific and religious commitment might not separately depend on ulterior forces of social and economic change .,audio/t0016.mp3,संक्षेप में समस्या यह है कि क्या वैज्ञानिक और धार्मिक प्रतिबद्धताओं के कुछ रूप अलग-अलग सामाजिक और आर्थिक परिवर्तनों पर निर्भर हो सकते हैं।,संक्षिप्त,संक्षेप में समस्या यह है कि क्या वैज्ञानिक और धार्मिक प्रतिबद्धता के विशिष्ट रूप सामाजिक और आर्थिक परिवर्तन के पीछे के बल पर अलग से निर्भर नहीं कर सकते हैं .,The problem in a nutshell is whether particular forms of scientific and religious commitment might not separately depend on ulterior forces of social and economic change .,संक्षेप में समस्या यह है कि क्या वैज्ञानिक और धार्मिक प्रतिबद्धता के विशिष्ट रूप सामाजिक और आर्थिक परिवर्तन के पीछे के बल पर अलग से निर्भर नहीं कर सकते हैं .,The problem in summary is whether particular forms of scientific and religious commitment might not separately depend on ulterior forces of social and economic change .,संक्षेप में (संक्षेप में) समस्या यह है कि क्या वैज्ञानिक और धार्मिक प्रतिबद्धता के विशिष्ट रूप सामाजिक और आर्थिक परिवर्तन के पीछे के बल पर अलग से निर्भर नहीं कर सकते हैं .,The problem in a nutshell (in summary) is whether particular forms of scientific and religious commitment might not separately depend on ulterior forces of social and economic change .
t0017,over the moon,1,figurative,A telegram from Stanislaus arrived shortly before curtain up ; Babs was over the moon .,audio/t0017.mp3,पर्दा उठने से ठीक पहले स्टानिस्लॉस का तार आया और बैब्स खुशी से झूम उठी।,चंद्रमा,पर्दा उठने से कुछ देर पहले स्टानिस्लाव का एक टेलीग्राम आया; बब्स चांद पर था .,A telegram from Stanislaus arrived shortly before curtain up ; Babs was over the moon .,पर्दे उठने से कुछ ही समय पहले स्टानिस्लाव का एक टेलीग्राम आया; बाब्स बेहद खुश था .,A telegram from Stanislaus arrived shortly before curtain up ; Babs was extremely happy .,पर्दा उठने से कुछ ही समय पहले स्टानिस्लाव का एक टेलीग्राम आया; बब्स चंद्रमा पर था (अत्यंत खुश) ।,A telegram from Stanislaus arrived shortly before curtain up ; Babs was over the moon (extremely happy) .
t0018,rule of thumb,1,figurative,Typically we use the rule of thumb to statistical significance so if we have a T ratio that 's less than two,audio/t0018.mp3,आमतौर पर हम एक सामान्य नियम अपनाते हैं कि यदि टी-अनुपात दो से कम हो तो उसे सांख्यिकीय रूप से महत्वपूर्ण नहीं माना जाता।,अंगूठा,आम तौर पर हम आभासी नियम का उपयोग करने के लिए सांख्यिकीय महत्व है तो अगर हम एक T अनुपात है कि से कम है दो,Typically we use the rule of thumb to statistical significance so if we have a T ratio that 's less than two,आम तौर पर हम सांख्यिकीय महत्व के लिए एक मोटा व्यावहारिक गाइडलाइन का उपयोग करते हैं तो अगर हम एक टी अनुपात है कि से कम है दो,Typically we use the a rough practical guideline to statistical significance so if we have a T ratio that 's less than two,आम तौर पर हम औंलाद के नियम का उपयोग (एक मोटा व्यावहारिक गाइडलाइन) के लिए सांख्यिकीय महत्व है तो अगर हम एक टी अनुपात है कि से कम दो है,Typically we use the rule of thumb (a rough practical guideline) to statistical significance so if we have a T ratio that 's less than two
t0019,turn a blind eye,1,figurative,"In Darcy 's Utopia church services of various denominations will exist , and blind eyes will no doubt be turned .",audio/t0019.mp3,डार्सी के आदर्श समाज में विभिन्न संप्रदायों की धार्मिक सेवाएँ होंगी और कुछ बातों को निश्चित रूप से अनदेखा किया जाएगा।,अंधा|आँख|घुमा,"डार्सी के यूटोपिया में विभिन्न संप्रदायों के चर्च सेवाएं मौजूद रहेंगी , और निस्संदेह अंधे आंखें बदल जाएंगी .","In Darcy 's Utopia church services of various denominations will exist , and blind eyes will no doubt be turned .","डार्सी के यूटोपिया में विभिन्न संप्रदायों के चर्च सेवाएं मौजूद रहेंगी , और निस्संदेह अंधे आंखें बदल जाएंगी .","In Darcy 's Utopia church services of various denominations will exist , and blind eyes will no doubt be turned .","डार्सी के यूटोपिया में विभिन्न संप्रदायों के चर्च सेवाएं मौजूद रहेंगी , और निस्संदेह अंधे आंखें बदल जाएंगी .","In Darcy 's Utopia church services of various denominations will exist , and blind eyes will no doubt be turned ."
t0020,cut corners,1,figurative,"If I cut corners , I have something left on Saturday to go shopping with .",audio/t0020.mp3,"अगर मैं थोड़ी बचत करूँ, तो शनिवार को खरीदारी के लिए मेरे पास कुछ पैसे बच जाएँगे।",कोने|कटौती,"अगर मैं कोनों को काटता हूँ , तो मेरे पास शनिवार को खरीदारी करने के लिए कुछ बचा है .","If I cut corners , I have something left on Saturday to go shopping with .","यदि मैं कुछ सस्ते या लापरवाही से करता हूँ , तो मेरे पास शनिवार को खरीदारी करने के लिए कुछ बचा है .","If I do something cheaply or carelessly , I have something left on Saturday to go shopping with .","यदि मैं कोनों को काटता हूं (किसी चीज़ को सस्ते या लापरवाही से करता हूं), तो मेरे पास शनिवार को खरीदारी करने के लिए कुछ बचा है .","If I cut corners (do something cheaply or carelessly) , I have something left on Saturday to go shopping with ."
t0021,off the hook,1,figurative,‘ If you found someone such as I have just described it would let you off the hook.’,audio/t0021.mp3,"अगर तुम्हें मेरे बताए जैसा कोई व्यक्ति मिल जाए, तो तुम्हें इस ज़िम्मेदारी से छुटकारा मिल जाएगा।",हुक,अगर आप किसी ऐसे व्यक्ति को ढूंढते हैं जैसा मैंने अभी वर्णित किया है तो यह आपको हुक से मुक्त कर देगा।,‘ If you found someone such as I have just described it would let you off the hook.’,अगर आप किसी ऐसे व्यक्ति को ढूंढते हैं जैसा मैंने अभी वर्णित किया है तो यह आपको परेशानी में नहीं छोड़ देगा।,‘ If you found someone such as I have just described it would let you no longer in trouble.’,अगर आप किसी ऐसे व्यक्ति को ढूंढते हैं जिसे मैंने अभी वर्णित किया है तो यह आपको हुक से मुक्त कर देगा (अब मुसीबत में नहीं होगा),‘ If you found someone such as I have just described it would let you off the hook (no longer in trouble).’
t0022,rule of thumb,1,figurative,Double check of valuation using ‘ rules of thumb’,audio/t0022.mp3,मूल्यांकन की दोबारा जाँच सामान्य नियमों के आधार पर की गई।,अंगूठा,औंठी के नियम  का उपयोग करके मूल्यांकन की दोहरी जांच,Double check of valuation using ‘ rules of thumb’,एक कठोर व्यावहारिक दिशानिर्देश  का उपयोग करके मूल्यांकन की दोहरी जांच,Double check of valuation using ‘ a rough practical guideline’,औंठी के नियमों का उपयोग करके मूल्यांकन की दोहरी जांच (एक मोटापा व्यावहारिक दिशा-निर्देश),Double check of valuation using ‘ rules of thumb (a rough practical guideline)’
t0023,hold your horses,1,figurative,hold your horses then Mr Curtis .,audio/t0023.mp3,"ज़रा धैर्य रखिए, श्री कर्टिस।",रखो|घोड़े,अपने घोड़ों को पकड़ो तो श्री कर्टिस .,hold your horses then Mr Curtis .,अपने घोड़ों को पकड़ो तो श्री कर्टिस .,hold your horses then Mr Curtis .,अपने घोड़ों को पकड़ो तो श्री कर्टिस .,hold your horses then Mr Curtis .
t0024,out of the blue,1,figurative,"Then , when Ollie reached about 18 months of age , out of the blue , they had their first serious fight .",audio/t0024.mp3,"जब ओली लगभग 18 महीने का हुआ, तो अचानक उनके बीच पहली गंभीर लड़ाई हो गई।",नीला,"फिर जब ओली 18 महीने की हो गई , तो अचानक उनकी पहली गंभीर लड़ाई हुई .","Then , when Ollie reached about 18 months of age , out of the blue , they had their first serious fight .","फिर जब ओली 18 महीने की उम्र में हो गई , तो अचानक उनकी पहली गंभीर लड़ाई हुई .","Then , when Ollie reached about 18 months of age , unexpectedly , they had their first serious fight .","फिर जब ओली लगभग 18 महीने की हो गई , तो अचानक (अपेक्षित रूप से) उनकी पहली गंभीर लड़ाई हुई .","Then , when Ollie reached about 18 months of age , out of the blue (unexpectedly) , they had their first serious fight ."
t0025,call it a day,1,figurative,In the end he slippered Pickerage and called it a day .,audio/t0025.mp3,आख़िर में उसने पिकरेज को चप्पल से मारा और वहीं बात खत्म कर दी।,कॉल|दिन,अंत में वह पिकरगेज को स्लिप किया और इसे एक दिन कहा .,In the end he slippered Pickerage and called it a day .,अंत में वह पिकरगेज को स्लाइड कर गया और दिन के लिए काम करना बंद कर दिया .,In the end he slippered Pickerage and stop working for the day .,अंत में वह पिकरगेज को स्लिप कर गया और इसे एक दिन कहा (दिन के लिए काम करना बंद करो) ।,In the end he slippered Pickerage and called it a day (stop working for the day) .
t0026,see eye to eye,1,figurative,I do n't see eye to eye with Tod on all issues .,audio/t0026.mp3,मैं हर मुद्दे पर टॉड से सहमत नहीं हूँ।,आँख|देखें,मैं सभी मुद्दों पर टॉड के साथ आंखों के साथ नहीं देखता .,I do n't see eye to eye with Tod on all issues .,मैं सभी मुद्दों पर टॉड के साथ पूरी तरह से सहमत नहीं हूँ .,I do n't agree completely with Tod on all issues .,मैं सभी मुद्दों पर टॉड के साथ आंखों से नहीं देखता (पूरी तरह से सहमत) ।,I do n't see eye to eye (agree completely) with Tod on all issues .
t0027,back to the drawing board,1,figurative,"A twin - engined fighter is a beast , I told Messerschmitt he should go back to the drawing board .",audio/t0027.mp3,मैंने मेसरश्मिट से कहा कि उसे फिर से शुरुआत करके डिज़ाइन पर दोबारा काम करना चाहिए।,पीठ|बोर्ड|चित्र,"एक द्वि-मोटर लड़ाकू एक जानवर है , मैंने मैसर्शमिट को कहा कि वह वापस ड्राइंग बोर्ड पर जाना चाहिए .","A twin - engined fighter is a beast , I told Messerschmitt he should go back to the drawing board .","एक ट्विन इंजन लड़ाकू एक जानवर है , मैंने मैसर्शमिट को कहा कि वह शुरू से योजना बनाना शुरू करना चाहिए .","A twin - engined fighter is a beast , I told Messerschmitt he should go start planning again from the beginning .","एक दो इंजन लड़ाकू एक जानवर है , मैंने मैसर्शमिट को कहा कि वह ड्राइंग बोर्ड पर वापस जाना चाहिए (प्लानिंग शुरू से फिर से शुरू) ।","A twin - engined fighter is a beast , I told Messerschmitt he should go back to the drawing board (start planning again from the beginning) ."
t0028,on the ball,1,figurative,Phew it 's lucky I 'm on the ball is n't it ?,audio/t0028.mp3,उफ़! अच्छा हुआ कि मैं पूरी तरह सतर्क था।,गेंद,"यह भाग्यशाली है कि मैं गेंद पर हूँ , है ना ?",Phew it 's lucky I 'm on the ball is n't it ?,"यह भाग्यशाली है कि मैं गेंद पर हूँ , है ना ?",Phew it 's lucky I 'm on the ball is n't it ?,"यह भाग्यशाली है कि मैं गेंद पर हूँ , है ना ?",Phew it 's lucky I 'm on the ball is n't it ?
t0029,back to the drawing board,1,figurative,One important thing about a ‘ bottlenecked’ life cycle is that it makes possible the equivalent of going back to the drawing board .,audio/t0029.mp3,इस तरह के जीवन चक्र की एक महत्वपूर्ण बात यह है कि इससे मानो फिर से शुरुआत करके योजना बनाने का अवसर मिलता है।,पीठ|बोर्ड|चित्र,एक महत्वपूर्ण बात है कि एक  बोतल के गले में  जीवन चक्र के बारे में यह संभव बनाता है कि यह वापस ड्राइंग बोर्ड पर जाने के बराबर है .,One important thing about a ‘ bottlenecked’ life cycle is that it makes possible the equivalent of going back to the drawing board .,एक महत्वपूर्ण बात है कि एक  बोतल गर्दन  जीवन चक्र के बारे में यह संभव बनाता है कि यह शुरू से योजना बनाना शुरू करने के बराबर है।,One important thing about a ‘ bottlenecked’ life cycle is that it makes possible the equivalent of going start planning again from the beginning .,एक महत्वपूर्ण बात है कि एक  बोतल गर्दन  जीवन चक्र के बारे में यह संभव बनाता है कि यह वापस ड्राइंग बोर्ड पर जाने के बराबर है (प्लानिंग को फिर से शुरू करें) ।,One important thing about a ‘ bottlenecked’ life cycle is that it makes possible the equivalent of going back to the drawing board (start planning again from the beginning) .
t0030,read between the lines,1,figurative,You could read between the lines and many would .,audio/t0030.mp3,"बातों के बीच का मतलब समझा जा सकता था, और कई लोगों ने समझ भी लिया।",लीन|पंक्तियाँ|पढ़ना,आप पंक्तियों के बीच पढ़ सकते थे और कई लोग पढ़ेंगे .,You could read between the lines and many would .,आप छिपे हुए अर्थ को समझ सकते हैं और कई लोग करेंगे .,You could understand the hidden meaning and many would .,आप लाइनों के बीच पढ़ सकते थे (छिपे हुए अर्थ को समझ सकते थे) और कई लोग करेंगे .,You could read between the lines (understand the hidden meaning) and many would .
t0031,your guess is as good as mine,1,figurative,"Your guess is as good as mine , but fate has a way of doing unexpected things . '",audio/t0031.mp3,"तुम्हारा अंदाज़ा भी मेरे जितना ही सही है, लेकिन किस्मत अक्सर अप्रत्याशित मोड़ लेती है।",अच्छा|ग्यूज|मेरा,"तुम्हारी अनुमान मेरी तरह ही अच्छी है , लेकिन भाग्य में अप्रत्याशित चीजें करने का एक तरीका है .","Your guess is as good as mine , but fate has a way of doing unexpected things . '","मुझे भी नहीं पता , लेकिन भाग्य में अप्रत्याशित चीजें करने का एक तरीका है . '","I do not know either , but fate has a way of doing unexpected things . '","और तुम भी मेरी तरह अनुमान लगाओ , लेकिन भाग्य में अनपेक्षित चीज़ें होती हैं ।","Your guess is as good as mine (I do not know either) , but fate has a way of doing unexpected things . '"
t0032,pass the buck,1,figurative,We were in the happy position of being able to pass the buck .,audio/t0032.mp3,हम ऐसी स्थिति में थे कि ज़िम्मेदारी किसी और पर डाल सकते थे।,बक्सा|पास,हम पैसे को पास करने में सक्षम होने की खुशी की स्थिति में थे .,We were in the happy position of being able to pass the buck .,हम किसी और को जिम्मेदारी देने में सक्षम होने की खुशी की स्थिति में थे .,We were in the happy position of being able to shift responsibility to someone else .,हम खुशहाल स्थिति में थे कि हम पैसे (जिम्मेदारी किसी और को स्थानांतरित करने) को पारित करने में सक्षम थे .,We were in the happy position of being able to pass the buck (shift responsibility to someone else) .
t0033,bite the bullet,1,figurative,"My view was that we should bite the bullet , abolish SERPS and encourage substitute private pensions .",audio/t0033.mp3,"मेरा मानना था कि हमें कठिन निर्णय लेना चाहिए, SERPS को समाप्त करना चाहिए और निजी पेंशन को बढ़ावा देना चाहिए।",काटने|गोली,"मेरा विचार था कि हमें गोली काटनी चाहिए , SERPS को समाप्त करना चाहिए और निजी पेंशन को प्रतिस्थापित करना चाहिए .","My view was that we should bite the bullet , abolish SERPS and encourage substitute private pensions .","मेरा विचार था कि हमें एक दर्दनाक स्थिति को बहादुरी से सहन करना चाहिए , SERPS को समाप्त करना चाहिए और निजी पेंशन को बदलने के लिए प्रोत्साहित करना चाहिए .","My view was that we should endure a painful situation bravely , abolish SERPS and encourage substitute private pensions .","मेरा विचार था कि हमें गोली काटनी चाहिए (एक दर्दनाक स्थिति को बहादुरी से सहन करना चाहिए), SERPS को समाप्त करना चाहिए और निजी पेंशन को बदलने के लिए प्रोत्साहित करना चाहिए .","My view was that we should bite the bullet (endure a painful situation bravely) , abolish SERPS and encourage substitute private pensions ."
